model,horizon,bin,n,predicted,observed,gap
state_queue,500_1000ms,4,8090,0.009806192288978244,0.07317676143386898,0.06337056914489073
state_queue,500_1000ms,5,8090,0.015456088204827403,0.06365883807169345,0.04820274986686605
state_queue,500_1000ms,6,8090,0.02146221656470781,0.06971569839307787,0.048253481828370054
state_queue,500_1000ms,7,8090,0.03107733340366834,0.11310259579728059,0.08202526239361224
state_queue,500_1000ms,8,8090,0.047078264026672284,0.09740420271940667,0.050325938692734384
state_queue,500_1000ms,9,8090,0.1030134674856385,0.16106304079110012,0.05804957330546162
state_queue_flow,0_10ms,0,8091,2.060876111238017e-06,0.0008651588184402422,0.0008630979423290042
state_queue_flow,0_10ms,1,8090,0.00015868251334676928,0.001977750309023486,0.0018190677956767167
state_queue_flow,0_10ms,2,8090,0.0009045909638741621,0.0023485784919653895,0.0014439875280912273
state_queue_flow,0_10ms,3,8090,0.002759857305735499,0.008034610630407911,0.005274753324672412
state_queue_flow,0_10ms,4,8090,0.005656814966231207,0.01841779975278121,0.012760984786550005
state_queue_flow,0_10ms,5,8090,0.008561867726829719,0.022620519159456117,0.014058651432626398
state_queue_flow,0_10ms,6,8090,0.012614930590773383,0.027564894932014833,0.01494996434124145
state_queue_flow,0_10ms,7,8090,0.018430465561320504,0.032756489493201486,0.014326023931880982
state_queue_flow,0_10ms,8,8090,0.02852943192541355,0.046600741656365886,0.018071309730952338
state_queue_flow,0_10ms,9,8090,0.10249297615969642,0.13992583436341163,0.03743285820371521
state_queue_flow,10_100ms,0,8091,2.175460422762127e-06,0.0014831294030404152,0.0014809539426176531
state_queue_flow,10_100ms,1,8090,0.0001736423819670535,0.003708281829419036,0.0035346394474519826
state_queue_flow,10_100ms,2,8090,0.0010119618364053313,0.0032138442521631645,0.002201882415757833
state_queue_flow,10_100ms,3,8090,0.003140679232676022,0.012608158220024722,0.0094674789873487
state_queue_flow,10_100ms,4,8090,0.006716937264518883,0.030407911001236094,0.023690973736717212
