model,n_test,auc,brier,mean_predicted_fill,observed_fill_rate
queue_only,80901,0.6396136819555543,0.06487365388399029,0.04138801198153498,0.07028343283766579
state_queue,80901,0.7271409215495717,0.06436130373633311,0.0312778450676673,0.07028343283766579
state_transition_queue,80901,0.7267899684171877,0.06435560027868188,0.03133760430195745,0.07028343283766579
