horizon,n_train,n_test,r2_oos,r2_ci95_low,r2_ci95_high,mae_bps,mean_markout_bps,mean_markout_ci95_low,mean_markout_ci95_high,p_adverse_markout,p_adverse_ci95_low,p_adverse_ci95_high,buy_mean_markout_bps,sell_mean_markout_bps,flow_lag_median_ms,flow_lag_p95_ms,stopping_diagnostic,side_interaction_significant,other_significant_coefficients
10ms,8119,5686,-0.0742940543938071,-0.22744636785161987,-0.002949845189147004,1.1979569691753167,-0.2732475531275224,-1.2974147048821436,0.2534620390701623,0.49489975378121703,0.4131387947923001,0.5837396561004046,0.239654085679534,-0.7779169953591689,0.0,0.0,NO_IMPROVEMENT,False,3
100ms,8119,5686,-0.01390306880739467,-0.08483355729551999,0.014028398523851543,1.3045988384679768,-0.14582673804386914,-0.8082062754924361,0.2558644329121272,0.501406964474147,0.4196421741061783,0.5972912491494904,0.24968143383206212,-0.5349869071611497,0.0,0.0,NO_IMPROVEMENT,False,3
500ms,8119,5686,-0.024337903477373413,-0.10626531388280067,0.017564403175346806,1.411534681328877,-0.19317740021728144,-0.7360599803122873,0.1863010566486649,0.5121350685895181,0.4370917188364884,0.6023230685982974,0.12648447547563071,-0.5077086247301957,0.0,0.0,NO_IMPROVEMENT,False,3
1s,8119,5686,-0.006139182135444177,-0.07226760598259174,0.031158810544914803,1.8140285753658603,-0.2156189141050914,-0.8968786566242349,0.2526095166794814,0.5316567006683082,0.4603258066158007,0.6073786176692676,0.19877841163117574,-0.6233650615497089,0.0,0.0,NO_IMPROVEMENT,False,3
