horizon,metric,model2_minus_model1,ci95_low,ci95_high,n_blocks
0_10ms,brier,1.0657274347450666e-05,-0.00013426745178238758,0.0001450450468778917,843
10_100ms,brier,1.8672687664182714e-05,-0.00012666028636787696,0.00017636851328533247,843
100_500ms,brier,4.332980555621573e-06,-0.00016007869097614584,0.00020012603082128464,843
500_1000ms,brier,1.624552669360367e-05,-0.0001671852467010982,0.00020259835149927862,843
0_10ms,auc,0.029077859068663336,0.015002820696599856,0.047809229319298985,843
10_100ms,auc,0.02762123561735208,0.015230829528539847,0.045544321735993175,843
100_500ms,auc,0.024661791553609147,0.011043642048560818,0.046054899434322304,843
500_1000ms,auc,0.020189039982440815,0.005804181379046145,0.03440316012429143,843
