horizon,auc,brier,mean_predicted,observed_rate,model
0_10ms,0.7806264221850349,0.02842642050410732,0.017889890169823546,0.03011087625616494,state_queue_raw
10_100ms,0.7401310278349544,0.036259993978626066,0.02135421909614591,0.03842968566519573,state_queue_raw
100_500ms,0.6843072660545222,0.05125282920120203,0.02618062014159606,0.05446162593787469,state_queue_raw
500_1000ms,0.6554756058777594,0.06584463737123858,0.030354718925894017,0.07028343283766579,state_queue_raw
0_10ms,0.780621166895137,0.028417379433698466,0.014480715858456306,0.03011087625616494,state_queue_calibrated
10_100ms,0.7575631494874491,0.03628397156338735,0.016933252459159658,0.03842968566519573,state_queue_calibrated
100_500ms,0.7099214931821871,0.05136208019082898,0.0200171332919119,0.05446162593787469,state_queue_calibrated
500_1000ms,0.6750675172022403,0.06610483084562169,0.023463008508069746,0.07028343283766579,state_queue_calibrated
0_10ms,0.8097040170504728,0.027979605552835865,0.018900507522126506,0.03011087625616494,state_queue_flow_raw
10_100ms,0.7713788137013876,0.035854525990901595,0.022425098711349182,0.03842968566519573,state_queue_flow_raw
100_500ms,0.712147428515038,0.05041027419778894,0.027448682530983586,0.05446162593787469,state_queue_flow_raw
500_1000ms,0.6779189912355598,0.06502814874865279,0.03171352884962841,0.07028343283766579,state_queue_flow_raw
0_10ms,0.8096990259638004,0.02819942025291511,0.018010945252204244,0.03011087625616494,state_queue_flow_calibrated
10_100ms,0.7851843851048012,0.036336106896363886,0.02107033587211878,0.03842968566519573,state_queue_flow_calibrated
100_500ms,0.7345832847357963,0.05060802271962512,0.024521060795681317,0.05446162593787469,state_queue_flow_calibrated
500_1000ms,0.6952565571846812,0.06524342772976506,0.028099469810458362,0.07028343283766579,state_queue_flow_calibrated
