horizon,feature,bin,n,feature_mean,markout_mean_bps,markout_median_bps,positive_fraction
10ms,imbalance,0,2762,-0.839844142696026,0.5736314930061287,-0.23929169657791113,0.3754525706010138
10ms,imbalance,1,2761,-0.39630645319493174,-0.16620631861164106,0.0,0.3295907279971025
10ms,imbalance,2,2760,0.04677398597449733,-0.15062664748445426,0.0,0.36884057971014494
10ms,imbalance,3,2761,0.4790486445150018,-0.18842540590582105,-0.1220623657322118,0.3440782325244477
10ms,imbalance,4,2761,0.859667931371368,-0.19695288181338233,-0.2400268830106789,0.37884824339007606
10ms,delta_imbalance,0,2761,-0.5332562437891234,-0.13194611538115997,0.0,0.3346613545816733
10ms,delta_imbalance,1,2761,-0.061898380693377976,-0.36680299407349165,-0.3566333808841265,0.2528069540021731
10ms,delta_imbalance,2,2761,0.001894578080209763,0.7250422730753633,0.0,0.49837015574067367
10ms,delta_imbalance,3,2761,0.07501791730047029,-0.2750702385627499,-0.35438372669894763,0.34733792104310035
10ms,delta_imbalance,4,2761,0.5508468395380668,-0.07954036853989825,0.0,0.36363636363636365
10ms,delta_microprice,0,2761,-0.00821299303976207,-0.0643543320318131,0.0,0.3542194856935893
10ms,delta_microprice,1,2761,-0.00036645795743108064,-0.3894690867358078,-0.3566333808841265,0.2462875769648678
10ms,delta_microprice,2,2761,1.1465584182172034e-05,0.6655756563178197,0.0,0.47772546178920683
10ms,delta_microprice,3,2761,0.000437163109380609,-0.28315678761264396,-0.3546602354960898,0.33936979355306046
10ms,delta_microprice,4,2761,0.009424731536897208,-0.05691289341949152,0.0,0.3792104310032597
10ms,relative_spread,0,2795,4.698266855274528e-05,-0.05907112439801308,0.0,0.38461538461538464
10ms,relative_spread,1,2760,5.652162090048388e-05,-0.05177285641211099,0.0,0.3670289855072464
10ms,relative_spread,2,2753,8.489673106819511e-05,-0.03751126902768907,0.0,0.41118779513258263
10ms,relative_spread,3,2813,0.00018963562345371648,-0.6609735610093642,-0.9602458229311615,0.18698897973693565
10ms,relative_spread,4,2684,0.000254540787487471,0.7139715222387536,-0.9637625289119992,0.45268256333830104
10ms,queue_ahead_initial,0,3483,78.25294286534597,-0.11278719103275715,0.0,0.3453919035314384
10ms,queue_ahead_initial,1,2400,165.07083333333333,-0.09587100337539418,0.0,0.40958333333333335
10ms,queue_ahead_initial,2,2465,305.8924949290061,-0.13901290859296897,0.0,0.3464503042596349
10ms,queue_ahead_initial,3,2698,653.945885841364,-0.22228469222460823,-0.35570732446354625,0.3191252779836916
10ms,queue_ahead_initial,4,2759,4627.068503080826,0.43893970725555403,-0.9574875526623053,0.3841971728887278
100ms,imbalance,0,2762,-0.839844142696026,0.2594951791161406,-0.23942920078511,0.389210716871832
100ms,imbalance,1,2761,-0.39630645319493174,-0.1542355654217481,-0.23878886288721776,0.33031510322346974
100ms,imbalance,2,2760,0.04677398597449733,-0.15550976604698163,0.0,0.3710144927536232
100ms,imbalance,3,2761,0.4790486445150018,-0.2016368186222998,-0.23799324099173938,0.3668960521550163
100ms,imbalance,4,2761,0.859667931371368,-0.2278556810324963,-0.24063913754911218,0.3842810575878305
100ms,delta_imbalance,0,2761,-0.5332562437891234,-0.14680505503201036,0.0,0.3480622962694676
100ms,delta_imbalance,1,2761,-0.061898380693377976,-0.3731733165442935,-0.48028432832193,0.27345164795363996
100ms,delta_imbalance,2,2761,0.001894578080209763,0.3989494256878374,0.23364485981287159,0.5045273451647954
100ms,delta_imbalance,3,2761,0.07501791730047029,-0.28180676764847074,-0.3549119818281838,0.3455269829771822
100ms,delta_imbalance,4,2761,0.5508468395380668,-0.07675662881990013,0.0,0.37015574067366896
100ms,delta_microprice,0,2761,-0.00821299303976207,-0.04245051743799717,0.0,0.36617167692864905
100ms,delta_microprice,1,2761,-0.00036645795743108064,-0.41697835640881936,-0.48028432832193,0.26838102136906916
100ms,delta_microprice,2,2761,1.1465584182172034e-05,0.3437381751357226,0.0,0.4864179645056139
100ms,delta_microprice,3,2761,0.000437163109380609,-0.29589541890963894,-0.3554418141767167,0.34045635639261135
100ms,delta_microprice,4,2761,0.009424731536897208,-0.06800622473610428,0.0,0.38029699384281057
100ms,relative_spread,0,2795,4.698266855274528e-05,-0.04302987712465932,0.0,0.37602862254025043
100ms,relative_spread,1,2760,5.652162090048388e-05,-0.07862931948028509,0.0,0.3782608695652174
100ms,relative_spread,2,2753,8.489673106819511e-05,-0.08671636841235501,0.0,0.4130039956411188
100ms,relative_spread,3,2813,0.00018963562345371648,-0.6972874965724748,-0.9602458229311615,0.20618556701030927
100ms,relative_spread,4,2684,0.000254540787487471,0.4520606785318058,-0.9637625289119992,0.4742921013412817
100ms,queue_ahead_initial,0,3483,78.25294286534597,-0.13013050926656106,0.0,0.35745047372954347
100ms,queue_ahead_initial,1,2400,165.07083333333333,-0.04342357199380354,0.0,0.4008333333333333
100ms,queue_ahead_initial,2,2465,305.8924949290061,-0.14558860535496446,0.0,0.33833671399594323
100ms,queue_ahead_initial,3,2698,653.945885841364,-0.25134152946132793,-0.3558718861206728,0.32876204595997033
100ms,queue_ahead_initial,4,2759,4627.068503080826,0.09797101776005199,-0.9574875526623053,0.41935483870967744
500ms,imbalance,0,2762,-0.839844142696026,0.11114805847969882,-0.3558212354130283,0.3787110789283128
500ms,imbalance,1,2761,-0.39630645319493174,-0.12152562594212825,-0.24032684450831301,0.34625135820354946
500ms,imbalance,2,2760,0.04677398597449733,-0.12280782126262042,-0.2386634850304298,0.3786231884057971
500ms,imbalance,3,2761,0.4790486445150018,-0.051064960601240154,-0.23870906139575349,0.385729808040565
500ms,imbalance,4,2761,0.859667931371368,-0.23428839325480916,-0.35597323081271903,0.32415791379934805
500ms,delta_imbalance,0,2761,-0.5332562437891234,-0.06075678753019792,-0.23812925656024445,0.3654473017022818
500ms,delta_imbalance,1,2761,-0.061898380693377976,-0.34108980787948756,-0.7159562789372718,0.28612821441506703
500ms,delta_imbalance,2,2761,0.001894578080209763,0.242904997089875,0.0,0.4165157551611735
500ms,delta_imbalance,3,2761,0.07501791730047029,-0.20282682986245512,-0.3554418141767167,0.3658094893154654
500ms,delta_imbalance,4,2761,0.5508468395380668,-0.05668557847715947,0.0,0.3795726186164433
500ms,delta_microprice,0,2761,-0.00821299303976207,0.015314086679407103,0.0,0.3817457442955451
500ms,delta_microprice,1,2761,-0.00036645795743108064,-0.3889410497843341,-0.7164350193444514,0.2767113364722926
500ms,delta_microprice,2,2761,1.1465584182172034e-05,0.22477802896432186,0.0,0.4085476276711337
500ms,delta_microprice,3,2761,0.000437163109380609,-0.25204978336246653,-0.3556440714130061,0.35349511046722204
500ms,delta_microprice,4,2761,0.009424731536897208,-0.017555289156353304,0.0,0.3929735603042376
500ms,relative_spread,0,2795,4.698266855274528e-05,-0.09120505883874455,0.0,0.39499105545617175
500ms,relative_spread,1,2760,5.652162090048388e-05,-0.10763836869610315,0.0,0.3402173913043478
500ms,relative_spread,2,2753,8.489673106819511e-05,-0.1112686431249885,-0.23881167311436466,0.3835815474028333
500ms,relative_spread,3,2813,0.00018963562345371648,-0.6867229437172012,-0.9604302727613239,0.22182723071453964
500ms,relative_spread,4,2684,0.000254540787487471,0.6090621236469612,-0.46511627906934444,0.4783904619970194
500ms,queue_ahead_initial,0,3483,78.25294286534597,-0.06855968275499566,-0.23720415370867512,0.37209302325581395
500ms,queue_ahead_initial,1,2400,165.07083333333333,-0.06373775597660615,0.0,0.3441666666666667
500ms,queue_ahead_initial,2,2465,305.8924949290061,-0.10788271963913829,-0.2400960384151478,0.3456389452332657
500ms,queue_ahead_initial,3,2698,653.945885841364,-0.2550124453722965,-0.3562776115145683,0.3317272053372869
500ms,queue_ahead_initial,4,2759,4627.068503080826,0.06899853516410444,-0.46511627906934444,0.4124682856107285
1s,imbalance,0,2762,-0.839844142696026,0.1556932494426907,-0.3558212354130283,0.39681390296886315
1s,imbalance,1,2761,-0.39630645319493174,-0.11354158642374576,-0.24058124428597663,0.3745019920318725
1s,imbalance,2,2760,0.04677398597449733,-0.2015134555505921,-0.24036728134502244,0.37318840579710144
1s,imbalance,3,2761,0.4790486445150018,-0.09781210306636876,-0.24073182474701266,0.3817457442955451
1s,imbalance,4,2761,0.859667931371368,-0.192770244791745,-0.35534077179983314,0.38247011952191234
1s,delta_imbalance,0,2761,-0.5332562437891234,-0.06877347905174058,-0.23912003825898864,0.3831944947482796
1s,delta_imbalance,1,2761,-0.061898380693377976,-0.3934228296785915,-0.9582215408207279,0.3049619703006157
1s,delta_imbalance,2,2761,0.001894578080209763,0.2612960700735172,-0.24037305898733008,0.43571169865990583
1s,delta_imbalance,3,2761,0.07501791730047029,-0.22456497396873018,-0.3560999928776763,0.3842810575878305
1s,delta_imbalance,4,2761,0.5508468395380668,-0.024349551920321098,0.0,0.4005795001810938
1s,delta_microprice,0,2761,-0.00821299303976207,-0.0010836838348873181,-0.1581277672357828,0.4009416877942774
1s,delta_microprice,1,2761,-0.00036645795743108064,-0.4445769826300006,-0.958037938302847,0.29916696848967766
1s,delta_microprice,2,2761,1.1465584182172034e-05,0.24685679572731667,-0.24037305898733008,0.42339731981166245
1s,delta_microprice,3,2761,0.000437163109380609,-0.27698231509086346,-0.3560999928776763,0.3745019920318725
1s,delta_microprice,4,2761,0.009424731536897208,0.025971421282568408,0.0,0.41072075335023545
