horizon,n_test_candidates,fill_auc,baseline_ev_bps,state_aware_ev_bps,delta_ev_bps,actual_realized_bps,baseline_positive_fraction,state_positive_fraction,baseline_actual_corr,state_actual_corr
10ms,80901,0.7268234309389411,-0.007343569469335066,-0.00771924739715613,-0.0003756779278210644,0.019204776048294743,0.0,0.5038627458251443,0.08308827967505975,0.05411033953653472
100ms,80901,0.7268234309389411,-0.008285357857692681,-0.008372183397628878,-8.682553993619689e-05,0.01024920374924216,0.0,0.4632081185646655,0.07397974408641728,0.05553127170475546
500ms,80901,0.7268234309389411,-0.008655245657280205,-0.008813962826965433,-0.0001587171696852286,0.013577170833926181,0.0,0.42962386126253077,0.054741438724726706,0.03850369092747348
1s,80901,0.7268234309389411,-0.009481736420577773,-0.00960796515382182,-0.00012622873324404614,0.015154437468035627,0.0,0.4049270095548881,0.05855966595689725,0.048816464389244696
