horizon,n_test,fill_auc,baseline_ev_bps,state_aware_ev_bps,delta_ev_bps,ci95_low_bps,ci95_high_bps,actual_realized_bps
10ms,5686,0.7268234309389411,-0.012938340156599237,-0.024444630751841417,-0.011506290595242183,-0.02003240574524719,-0.002994382095608495,0.2732475531275224
100ms,5686,0.7268234309389411,-0.014600325627620085,-0.02601949990085477,-0.011419174273234682,-0.020658846977295763,-0.003217372238811209,0.14582673804386914
500ms,5686,0.7268234309389411,-0.01526952476090347,-0.023755734437620253,-0.008486209676716785,-0.015299491812491803,-0.0026118478273153937,0.19317740021728147
1s,5686,0.7268234309389411,-0.016723481105760427,-0.024350865465047705,-0.007627384359287276,-0.014153689046638359,-0.002069753790275105,0.21561891410509146
